STAT;LAT;LONG;h;WEEK
MHEC;-3.2607964917515;-79.9573140257159;54.843025171198;2250
MIMQ;46.545547914674;-87.3787000636412;155.109850053675;2250
MIZU;39.135151543242;141.132870361467;117.099299868569;2190
MKEA;19.8013594685763;-155.45635101123;3754.64226381294;2250
MOBS;-37.8294020703196;144.975341499882;40.5661225803196;2190
MONP;32.8919423666863;-116.422355944213;1842.52857684251;2250
MOTE;8.79196636248501;-75.8606674809017;33.1757132383063;2189
MPL2;-38.0057654692646;-57.5712980111238;53.593403711915;2250
MPLA;-38.0356032178387;-57.5311419700845;20.1197198471054;1465
MRLS;15.4622492590909;-88.8497323379705;46.3173637650907;1987
MSAQ;-20.4529407529478;-55.671165403476;188.112551242113;2250
MSBL;-22.1068855393858;-56.5309430535797;207.75357537251;2250
MSCB;-18.988664817012;-56.6168908231032;113.94065806549;2029
MSCG;-20.4408982939782;-54.5407032120096;676.480597987771;2149
MSDR;-22.1941037116242;-54.9304025746909;478.614609496668;2250
MSGR;-20.445364732126;-54.7234061260808;532.618072491139;2250
MSJR;-21.498444228641;-56.1589805918361;289.768502778374;2250
MSMJ;-21.6182063410948;-55.1379570102525;361.951247624122;2250
MSMN;-23.923539995165;-54.2865852121691;325.494036700577;2250
MSNV;-23.0220383496658;-54.1920677972993;381.677243955433;2228
MSPM;-21.6976888961906;-57.8840224413914;97.3325635613874;2250
MSPP;-22.6216220356836;-55.6088544544807;648.182771261781;2250
MTBA;-15.8899692729956;-52.2647321085552;322.833233773708;1923
MTCA;-16.1304655140166;-57.6908400003294;147.336314446293;2244
MTCN;-13.555824238324;-52.2713573978485;423.206943642348;2248
MTCO;-10.8038629694256;-55.456263770127;307.22071025148;2062
MTEC;-2.06911262674764;-76.9823743355317;300.683463559486;2250
MTGA;-15.8752875474612;-52.3120718174638;340.321409543976;2250
MTIT;-17.2182630954279;-54.1495406165561;534.520815985277;2162
MTJI;-11.4487421993137;-58.7235853421165;328.276257094927;2250
MTLA;-15.2282797122021;-59.3504692581426;267.638598789461;2250
MTLE;-15.553763587075;-54.2824672878394;627.61095094122;2245
MTNM;-13.7948367320392;-56.0563206841966;433.407671908848;2102
MTNX;-14.697530595112;-52.3492090671389;299.014800725505;2216
MTSC;-16.6875264401704;-56.1743324026992;132.205888629891;2250
MTSF;-11.6192781591439;-50.663507452537;181.85517203249;2024
MTSR;-12.5452322445055;-55.727413761799;391.661827147007;2250
MTV1;-34.9135885162136;-56.1763015733107;40.7412782907486;2250
MTVB;-15.0064250897788;-59.9515558619236;219.641405221075;1879
MTY2;25.7155060417266;-100.312907697034;521.753776981495;2250
MUEC;0.604640418903253;-80.0237605864637;19.0068686464801;2250
MZAC;-32.8951512295179;-68.8755748101623;859.905648757704;2250
MZAE;-33.2548419221509;-68.1500630023059;635.751238798723;2250
MZAL;-32.7207133576552;-68.5952243374502;635.5506170718;2250
MZAS;-34.6149027338955;-68.3345178194299;729.378199330531;1607
MZAU;-33.7359555410379;-69.1184159464113;1057.01899422612;2250
MZGA;-34.9784323361235;-67.6961692952829;504.308418465778;2250
MZRF;-34.6123763747992;-68.3314880236703;730.186599143781;2250
MZSR;-34.6154701284884;-68.3343141709086;730.591070699506;1921
NAMA;19.2114268227884;42.0446493518302;2703.10841676313;1829
